Nom,Code
 MANHATTAN/DWNTWN ,KJRB
 MASSENA          ,KMSS
 MONTAUK          ,KMTP
 MONTGOMERY       ,KMGJ
 MONTICELLO       ,KMSV
 NEWBURGH/STEWART ,KSWF
 NEW YORK/ARTCC   ,KZNY
 NIAGARA FALLS    ,KIAG
 NORWICH          ,KOIC
 NYC/CENTRAL PARK ,KNYC
 NYC/JFK ARPT     ,KJFK
 NYC/LA GUARDIA   ,KLGA
 OGDENSBURG INTL  ,KOGS
 OLEAN            ,KOLE
 ONEONTA          ,KOZX
 PENN YAN         ,KPEO
 PISECO LAKE      ,KPIC
 PLATTSBURGH AFB  ,KPBG
 PLATTSBURGH      ,KPLB
 POTSDAM          ,KPTD
 POUGHKEEPSIE     ,KPOU
 ROCHESTER        ,KROC
 ROME/GRIFFISS AF ,KRME
 SARANAC LAKE     ,KSLK
 SARATOGA SPRINGS ,K5B2
 SCHENECTADY AIRP ,KSCH
 SIDNEY           ,KN23
 SKANEATELES      ,K6B9
 SLIDE MOUNTAIN   ,KSLD
 STORMVILLE       ,KSTM
 SYRACUSE         ,    
 SYRACUSE         ,KSYR
 UTICA            ,KUCA
 WARSAW           ,KWRS
 WATERTOWN        ,KART
 WELLSVILLE       ,KELZ
 WESTHAMPTON BEAC ,KFOK
 WHITE PLAINS     ,KHPN
 WILLIAMSON/SODUS ,KSDC
 AKRON (FULTON)   ,KAKR
 AKRON            ,KCAK
 APPLETON         ,KAPE
 ASHTABULA        ,K7G2
 ASHTABULA        ,KHZY
 ASHTABULA        ,KSHI
 ATHENS           ,KUNI
 BATAVIA          ,KI69
 BELLAIRE VOR     ,KAIR
 BELLEFONTAINE    ,KEDJ
 CAMBRIDGE        ,KCDI
 CHILLICOTHE      ,KRZT
 CINCINNAT/LUNKEN ,KLUK
 CIRCLEVILLE      ,KCYO
 CLEVELAND/ARTCC  ,KZOB
 CLEVELAND        ,KBKL
 CLEVELAND        ,KCLE
 CLEVLND/CUYAHOGA ,KCGF
 COLUMBUS/BOLTON  ,K2I4
 COLUMBUS/BOLTON  ,KTZR
 COLUMBUS         ,KCMH
 COLUMBUS/ST UNIV ,KOSU
 DAYTON           ,KDAY
 DAYTON           ,KMGY
 DEFIANCE         ,KDFI
 DELAWARE         ,KDLZ
 FINDLAY          ,KFDY
 FLAG CITY        ,KFBC
 FREMONT          ,KS24
 HAMILTON         ,KHAO
 HARRISON         ,KI67
 JACKSON          ,KI43
 JACKSON          ,KJRO
 LANCASTER        ,KI15
 LANCASTER        ,KLHQ
 LEBANON          ,KI68
 LIMA             ,KAOH
 LONDON           ,KUYF
 LORAIN/ELYRIA    ,K22G
 LORAIN/ELYRIA    ,KLPR
 MANSFIELD        ,KMFD
 MARION           ,KMNN
 MARYSVILLE       ,KMRT
 MIDDLETOWN/HOOK  ,KMWO
 MILLERSBURG      ,K10G
 MT VERNON/KNOX   ,K4I3
 NEWARK           ,K2I8
 NEWARK           ,KVTA
 NEW PHILADELPHIA ,KPHD
 OTTAWA           ,KOWX
 OXFORD           ,KOXD
 PORT CLINTON     ,KPCW
 PORTSMOUTH       ,KPMH
 RAVENA/PORTAGE   ,K29G
 RAVENA/PORTAGE   ,KPOV
 RICKENBACKER ANG ,KLCK
 ROSEWOOD VOR     ,KROD
 SOUTH BASS ISLA  ,    
 SPRINGFIELD MUNI ,KSGH
 STEUBENVILLE     ,K2G2
 TOLEDO           ,KTDZ
 TOLEDO           ,KTOL
 URBANA           ,KI74
 VAN WERT COUNTY  ,KVNW
 VERSAILLES       ,KVES
 WAPAKONETA       ,KAXV
 WASHINGTON COURT ,KI23
 WAUSEON          ,KUSE
 WILLOUGHBY       ,KLNN
 WILMINGTON       ,KILN
 WILMINGTON/RFC   ,KTIR
 WOOSTER          ,KBJJ
 WRIGHT PATTERSON ,KFFO
 XENIA            ,KI19
 YOUNGSTOWN       ,KYNG
 ZANESVILLE       ,KZZV
 ADA              ,KADH
 ALTUS AFB        ,KLTS
 ALTUS/QUARTZ MTN ,KAXS
 ALVA             ,KAVK
 ARDMORE/EXEC     ,K1F0
 ARDMORE          ,KADM
 ATOKA            ,KAQR
 BARTLESVILLE     ,KBVO
 BLACKWELL        ,KBKN
 CHANDLER         ,KCQB
 CHICKASHA        ,KCHK
 CLAREMORE        ,KGCM
 CLINTON          ,KCLK
 CLINTON          ,KCSM
 CUSHING          ,KCUH
 DUNCAN           ,KDUC
 DURANT           ,KDUA
 ELK CITY         ,KELK
 EL RENO MUNI     ,KF28
 EL RENO MUNI     ,KRQO
 ENID/VANCE AFB   ,KEND
 ENID/WOODRING    ,KWDG
 FORT SILL        ,KFSI
 FREDERICK/ALTUS  ,KFDR
 GAGE             ,KGAG
 GROVE            ,KGMJ
 GUTHRIE          ,KGOK
 GUYMON           ,KGUY
 HASKELL PROFILER ,    
 HOBART           ,KHBR
 HUGO             ,KHHW
 IDABEL           ,K4O4
 INOLA/TULSA/88D  ,KINX
 LAMONT ARM KLMN  ,    
 LAMONT PROFILER  ,    
 LAWTON           ,KLAW
 LEXINGTON        ,KHMY
 MCALESTER        ,KMLC
 MIAMI            ,KMIO
 MITBEE/GAGE      ,KMMB
 MORRIS           ,    
 MUSKOGEE         ,KMKO
 NORMAN/SPC       ,KWNS
 NORMAN/WESTHEIME ,KOUN
 OKLA CITY/PAGE   ,KRCE
 OKLA CITY/SUNDAN ,KHSD
 OKLA CITY/WILEY  ,KPWA
 OKLAHOMA CITY    ,KOKC
 OKMULGEE         ,KOKM
 PAGE             ,KPGO
 PAULS VALLEY     ,KPVJ
 PONCA CITY       ,KPNC
 POTEAU (R KERR)  ,KRKR
 PRYOR            ,KH71
 PURCELL          ,    
 PURCELL PROFILER ,    
 SALLISAW         ,KJSV
 SAND SPRINGS     ,KOWP
 SEMINOLE         ,KH45
 SEMINOLE         ,KSRE
 SHAWNEE          ,KSNL
 STIGLER          ,KGZL
 STILLWATER       ,KSWO
 TAHLEQUAH        ,KTQH
 TINKER AFB       ,KTIK
 TULSA            ,KRVS
 TULSA            ,KTUL
 TULSA/RFC        ,KTUA
 TULSA/WFO        ,KTSA
 TWIN LAKES/88D   ,KTLX
 VANCE/KEGELMAN   ,KVNX
 VICI             ,    
 VICI PROFILER    ,    
 WATONGA          ,KJWG
 WEATHERFORD      ,KOJA
 WOODWARD         ,KWWR
 ASTORIA CG       ,KNMW
 ASTORIA          ,KAST
 AURORA           ,KUAO
 AURORA STATE     ,K3S2
 BAKER            ,KBKE
 BEND             ,KBDN
 BROOKINGS        ,K4BK
 BROOKINGS        ,KBOK
 BURNS            ,KBNO
 CAPE ARAGO (LS)  ,    
 CAPE BLANCO (CGS ,K92S
 CASCADE LOCKS ST ,KCZK
 CLATSOP SPIT     ,K3CL
 CORVALLIS MUNI A ,KCVO
 CRESWELL         ,K77S
 EUGENE           ,KEUG
 FLORENCE MUNI    ,K6S2
 GOLD BEACH       ,K4S1
 GRANTS PASS      ,K3S8
 HERMISTON        ,KHRI
 HERMISTON        ,KS22
 HILLSBORO/PORTLD ,KHIO
 HOOD RIVER       ,K4S2
 JACKSON CTY/MFR  ,KMAX
 JOSEPH           ,KJSY
 JOHN DAY STATE   ,K5J0
 JOHN DAY STATE   ,KGCD
 KIMBERLY/VOR     ,KIMB
 KLAMATH FALLS    ,KLMT
 LA GRANDE        ,KLGD
 LAKEVIEW         ,K4LW
 LAKEVIEW         ,KLKV
 LEXINGTON        ,K9S9
 MADRAS           ,KS33
 MCMINNVILLE      ,KMMV
 MEACHAM          ,KMEH
 MEDFORD          ,KMFR
 MEDFORD(VOR)     ,KOED
 NEWPORT          ,KJNW
 NEWPORT          ,KONP
 NEWPORT STATE B  ,    
 NORTH BEND       ,KOTH
 ONTARIO          ,KONO
 PACIFIC CITY     ,KPFC
 PENDLETON        ,KPDT
 PORTLAND         ,KPDX
 PORTLAND/RFC     ,KPTR
 PORTLAND/WFO     ,KPQR
 PORTLD/SCAPPOOSE ,KRTX
 PRINEVILLE       ,KS39
 REDMOND          ,KRDM
 REDMOND(VOR)     ,KDSD
 ROME             ,KP88
 ROME             ,KREO
 ROOSTER ROCK     ,KRRK
 ROSEBURG         ,KRBG
 SALEM            ,KSLE
 SCAPPOOSE        ,K1S4
 SCAPPOOSE        ,KSPB
 SEA LION CAVES   ,K2SL
 SEXTON SUMMIT    ,KSXT
 SISTERS EAGLEAIR ,K6K5
 SUNRIVER         ,KS21
 THE DALLES       ,KDLS
 TILLAMOOK        ,KS47
 TILLAMOOK        ,KTMK
 TROUTDALE        ,KTTD
 ALLENTOWN        ,KABE
 ALLENTOWN QUEEN  ,KJVU
 ALLENTOWN QUEEN  ,KXLL
 ALTOONA          ,KAOO
 AVOCA/WILKES B.  ,KAVP
 BEAVER FALLS ARP ,KBVI
 BEDFORD          ,KHMZ
 BRADFORD         ,KBFD
 BUTLER CO.       ,KBTP
 CLEARFIELD       ,KFIG
 CLEARFIELD       ,KN97
 COATESVILLE      ,K40N
 COATESVILLE      ,KMQS
 CONNELLSVILLE    ,KVVS
 DOYLESTOWN       ,KDYL
 DU BOIS          ,KDUJ
 EAST TEXAS VOR   ,KETX
 ELLWOOD CITY VOR ,KEWC
 ERIE             ,KERI
 FOUNTAIN DALE    ,KRYT
 FRANKLIN         ,KFKL
 GROVE CITY       ,K29D
 HARRISBURG       ,KCXY
 HARRISBURG       ,KHAR
 HAWLEY           ,KHAW
 HAZLETON         ,KHZL
 INDIANA/STEWART  ,KIDI
 JOHNSTOWN        ,KJST
 LANCASTER        ,KLNS
 LATROBE/WESTMORL ,KLBE
 LEHIGHTON        ,K22N
 LOCK HAVEN       ,KLHV
 MEADVILLE        ,K2G6
 MEADVILLE        ,KGKJ
 MIDDLETOWN       ,KMDT
 MT. POCONO       ,KMPO
 MUIR AAF/INDIANT ,KMUI
 NEW CASTLE MUNI  ,KUCP
 PERKASIE         ,KCKZ
 PHILADELPHIA     ,KPHL
 PHILADELPHIA/NE  ,KPNE
 PHILIPSBURG/MID  ,KPSB
 PHILLY WINGS F   ,KLOM
 PITT/CORAOPOLIS  ,KPBZ
 PITTSBURGH/ALLEG ,KAGC
 PITTSBURGH       ,KPIT
 POTTSTOWN        ,KPTW
 POTTSVILLE       ,KZER
 QUAKERTOWN ARP   ,KUKT
 READING          ,KRDG
 REEDSVILLE       ,KRVL
 RUSH/ST COLLEGE  ,KCCX
 SELINSGROVE      ,KSEG
 SLATE RUN        ,KSLT
 SOMERSET         ,K2G9
 STATE COLLEGE    ,KUNV
 STATE COLLEG/RFC ,KRHA
 STATE COLLEG/WFO ,KCTP
 ST MARYS         ,KOYM
 TOBYHANNA        ,K7TB
 TOWANDA          ,KN27
 WASHINGTON       ,KAFJ
 WELLSBORO/GRAND  ,KN38
 WEST CHESTER     ,KOQN
 WILLIAMSPORT     ,KIPT
 WILLOW GROVE NAS ,KNXX
 YORK             ,KTHV
 ZELIENOPLE       ,KPJC
 BLOCK ISLAND     ,KBID
 NEWPORT          ,K2B4
 NEWPORT          ,KUUU
 N. KINGSTON/QUON ,KOQU
 PAWTUCKET        ,KSFZ
 PROVIDENCE/GREEN ,KPVD
 WESTERLY         ,KWST
 WOONSOCKET       ,K1B6
 AIKEN            ,KAIK
 ALLENDALE CNTY   ,KAQX
 ANDERSON         ,KAND
 BARNWELL         ,KBNL
 BEAUFORT CNTY    ,KARW
 BEAUFORT MCAS    ,KNBC
 BERKELEY MONCKS  ,KMKS
 CAMDEN WOODWARD  ,KCDN
 CHARLESTON AFB   ,KIGC
 CHARLESTON/EXEC  ,KJZI
 CHARLESTON/GRAYS ,KCLX
 CHARLESTON       ,KCHS
 CHERAW           ,KCQW
 CHESTER CATAWBA  ,KDCM
 CLEMSON          ,KCEU
 COLLIERS VOR     ,KIRQ
 COLUMBIA         ,KCAE
 COLUMBIA-OWENS   ,KCUB
 CONWAY-HORRY CTY ,KHYW
 DARLINGTON CNTY  ,KUDG
 FLORENCE         ,KFLO
 FOLLY ISLAND     ,    
 GEORGETOWN       ,KGGE
 GREENVILLE       ,KGMU
 GREENVILLE       ,KGYH
 GREENWOOD        ,KGRD
 GREER/SPARTANSBG ,KGSP
 GRNVL/DNLDSN     ,KXAA
 HARTSVILLE       ,KHVS
 HILTON HEAD      ,K49J
 HILTON HEAD      ,KHXD
 KINGSTREE        ,KCKI
 LANCASTER        ,KLKR
 LAURENS          ,KLUX
 MANNING          ,KMNI
 MARION           ,KMAO
 MARLBORO CNTY    ,KBBP
 MCENTIRE ANG BAS ,KMMT
 MOUNT PLEASANT   ,KLRO
 MYRTLE BEACH     ,KMYR
 NEWBERRY         ,KEOE
 NORTH AUX        ,KXNO
 NORTH MYRTLE BEA ,KCRE
 ORANGEBURG       ,KOGB
 PICKENS          ,KLQK
 ROCK HILL        ,K29J
 ROCK HILL        ,KUZA
 SHAW AFB/SUMTER  ,KSSC
 SPARTANBURG      ,KSPA
 SUMMERVILLE      ,KDYB
 SUMTER           ,KSMS
 SUMTER/POINSETT  ,K2PJ
 UNION            ,K35A
 WALTERBORO       ,KRBW
 WINNSBORO        ,KFDW
 ABERDEEN         ,KABR
 ANDOVER          ,KADR
 BATESLAND US18   ,KBAT
 BELLE FOURCHE    ,KBEL
 BELLE FOURCHE    ,KEFC
 BELVIDERE        ,KBVD
 BISON            ,K6V5
 BRANDT           ,KBRA
 BRITTON          ,KBTN
 BROOKINGS        ,KBKX
 BUFFALO          ,K2WX
 CACTUS FLATS     ,KCAC
 CHAMBERLAIN      ,K9V9
 CLARK            ,K8D7
 CUSTER           ,K0V1
 CUSTER           ,KCUT
 DESMET           ,K6E5
 DUPREE           ,KDPR
 EAGLE BUTTE      ,K84D
 EDGEMONT US18    ,KED0
 ELLSWORTH AFB    ,KRCA
 ELLSWORTH I90    ,KEL0
 FAITH            ,KD07
 FAULKTON         ,K3FU
 FREDERICK        ,KFED
 GETTYSBURG       ,K0D8
 GLAD VLY SD20    ,KGLV
 GREGORY          ,K9D1
 HARROLD          ,KHRD
 HERRIED          ,KHER
 HOT SPRINGS      ,KHSR
 HURON            ,KHON
 JCT SD44 US385   ,KPAC
 KADOKA           ,KKAD
 LEMMON           ,KY22
 LEMMON US12      ,KLEM
 MADISON          ,KMDS
 MARTIN           ,K9V6
 MILLBANK         ,K1D1
 MILLER           ,KMKA
 MITCHELL         ,KMHE
 MOBRIDGE         ,KMBG
 MOBRIDGE         ,KY26
 ONIDA            ,K98D
 PARKSTON         ,K8V3
 PHILIP           ,KP05
 PHILIP           ,KPHP
 PICKSTOWN        ,    
 PIERRE           ,KPIR
 PINE RIDGE       ,KIEN
 PLATTE           ,K1D3
 RAPID CITY       ,KRAP
 RAPID CITY/WFO   ,KUNR
 RAPID/N UNDERWOD ,KUDX
 REDIG            ,KREJ
 RELIANCE         ,KREL
 SD-WY BORDR US85 ,KNE0
 SHERIDAN LAKE RD ,KSL0
 SIOUX FALLS      ,KFSD
 SISSETON         ,K8D3
 SPEARFISH/CLYDE  ,KSPF
 STURGIS          ,K49B
 SUMMIT           ,KSUM
 TEA              ,KY14
 TOLSTOY          ,KTLS
 VERMILLION       ,KVMR
 VICTOR           ,KVIC
 VIVIAN           ,KVIV
 WAGNER           ,KAGZ
 WALL             ,K6V4
 WASTA I90        ,KWTA
 WATERTOWN        ,KATY
 WEBSTER          ,K1D7
 WESSINGTON SPRIN ,K4X4
 WINNER           ,KICR
 WINNER           ,KSFD
 YANKTON          ,KYKN
 ATHENS/MCMINN    ,KMMI
 BOLIVAR/WHITEHST ,KM08
 BRISTOL          ,KTRI
 CHATTANOOGA      ,KCHA
 CHATTANOOGA VOR  ,KGQO
 CLARKSVILLE      ,KCKV
 CLEVELAND REG.   ,KRZR
 COLLEGEDALE      ,K3M3
 COLUMBIA         ,KMRC
 COVINGTON        ,KM04
 CROSSVILLE       ,KCSV
 DAYTON           ,K2A0
 DEWITT SPAIN/MEM ,KM01
 DICKSON          ,KM02
 DYERSBURG        ,KDYR
 ELIZABETHTON     ,K0A9
 FAYETTEVILLE     ,KFYM
 FRANKLIN WILKINS ,KM52
 GALLATIN         ,KM33
 GALLATIN         ,KXNX
 GATLINBURG       ,KGKT
 GREENEVILLE      ,KGCY
 HOLSTON MTN VOR  ,KHMV
 HUNTINGDON       ,KHZD
 JACKSBORO        ,KJAU
 JACKSON          ,KMKL
 KNOXVILLE DOWNTO ,KDKX
 KNOXVILLE        ,KTYS
 KNOXVILLE VOR    ,KVXV
 LAWRENCEBURG     ,K2M2
 LEBANON          ,KM54
 LEWISBURG        ,KLUG
 LEXINGTON        ,KPVE
 LIVINGSTON       ,K8A3
 MADISONVILLE     ,KMNV
 MCMINNVILLE      ,KRNC
 MEMPHIS/ARTCC    ,KZME
 MEMPHIS          ,KMEM
 MEMPHIS/WFO      ,KMEG
 MILLINGTON/88D   ,KNQA
 MILLINGTON       ,K2M8
 MONTEAGLE        ,KMGL
 MORRISTOWN       ,KMOR
 MORRISTOWN/KNOX  ,KMRX
 MURFREESBORO     ,KMBT
 NASHVILLE        ,KBNA
 NASHV/JC TUNE    ,KJWN
 OAK RIDGE        ,KOQT
 OLD HICKORY/NASH ,KOHX
 ONEIDA           ,KSCX
 PARIS HENRY CTY  ,KPHT
 PORTLAND         ,K1M5
 PULASKI          ,KGZS
 ROCKWOOD         ,KRKW
 SAVANNAH HARDIN  ,KSNH
 SELMER           ,KSZY
 SHELBYVILLE      ,KSYI
 SMYRNA           ,KMQY
 SOMERVILLE       ,KFYE
 SPARTA           ,KSRB
 SPINGFIELD       ,KM91
 TULLAHOMA        ,KTHA
 UNION CITY       ,KUCY
 WINCHESTER       ,KBGF
 ABILENE          ,KABI
 ALAMINOS C OIL   ,KGYF
 ALAMINOS CANYON  ,KHHV
 ALICE            ,KALI
 ALPINE-CASPARIS  ,KE38
 AMARILLO         ,KAMA
 ANDREWS          ,KE11
 ANGLETON         ,KLBX
 ARLINGTON        ,KF54
 ARLINGTON        ,KGKY
 ATHENS           ,KF44
 ATLANTA          ,KATA
 AUSTIN/BERGSTROM ,KBSM
 AUSTIN EXEC      ,KEDC
 AUSTIN           ,KAUS
 AUSTIN/MABRY     ,KATT
 BAY CITY         ,K3R1
 BAY CITY         ,KBYY
 BEAUMONT         ,KBMT
 BEAUMONT/PORT AR ,KBPT
 BEEVILLE         ,KNIR
 BEEVILLE MUNI    ,KBEA
 BIG LAKE         ,KE41
 BIG SPRING       ,KBGS
 BIG SPRING       ,KBPG
 BONHAM           ,KF00
 BORGER           ,KBGD
 BOWIE            ,K0F2
 BRADY            ,KBBD
 BRAZOS 133B OILP ,KBBF
 BRAZOS 451 OILP  ,KBQX
 BRECKENRIDGE     ,KBKD
 BRENHAM          ,K11R
 BRIDGEPORT       ,K1F9
 BRIDGEPORT       ,KXBP
 BROWNSVILLE      ,KBRO
 BROWNWOOD        ,KBWD
 BRYAN            ,KCFD
 BURNET           ,KBMQ
 BURNET MUNICIPAL ,KT27
 CALDWELL         ,KRWV
 CAMERON          ,KT35
 CANADIAN         ,KHHF
 CARMEN           ,KCRM
 CARRIZO SPRINGS  ,KCZT
 CARSWELL         ,KAWN
 CARTHAGE         ,K4F2
 CASTROVILLE MUNI ,KCVB
 LAJITAS          ,KT89
 C. CHRISTI NAS   ,KNGP
 CENTER           ,KF17
 CENTEX (AUSTIN)  ,KCWK
 CHILDRESS        ,KCDS
 CISCO            ,KGZN
 CLARKSVILLE      ,K7F6
 CLARKSVILLE      ,KLBR
 CLEBURNE         ,KCPT
 CLEBURNE         ,KF18
 CLEVELAND MUNI   ,K6R3
 COLEMAN MUNI     ,KCOM
 COLLEGE STATION  ,KCLL
 COLUMBUS         ,K66R
 COMANCHE         ,K7F9
 COMANCHE         ,KMKN
 CONROE           ,KCXO
 CORPUS CHRISTI   ,KCRP
 CORSICANA        ,KCRS
 COTULLA          ,KCOT
 CROCKETT         ,KDKR
 CROCKETT         ,KT56
 DALHART          ,KDHT
 DALLAS/ADDISON   ,KADS
 DALLAS/ARTCC     ,KZFW
 DALLAS/FT WORTH  ,KDFW
 DALLAS/LOVE FLD  ,KDAL
 DALLAS NAS/HENSL ,KNBE
 DALLAS/REDBIRD   ,KRBD
 DECATUR          ,KLUD
 DEL RIO          ,KDRT
 DENTON           ,KDTO
 DIMMIT           ,KFTN
 DRYDEN           ,K6R6
 DUMAS/MOORE CTY  ,KDUX
 DYESS AFB/ABILEN ,KDYS
 EAGLE LAKE       ,KELA
 EAST ADDITION    ,K5R0
 EASTLAND         ,KETN
 E BREAKS 165     ,KEMK
 E BREAKS BOOMVNG ,KVAF
 EDINBURG INTL    ,KEBG
 EDINBURG         ,K25R
 EL PASO          ,KELP
 FALFURRIAS       ,KBKS
 FORT BLISS       ,KBIF
 FORT STOCKTON    ,KFST
 FORT WORTH/88D   ,KFWS
 FORT WORTH       ,KFTW
 FORT WORTH       ,KFWD
 FORT WORTH NAS   ,KNFW
 FORT WORTH/RFC   ,KFWR
 FREDERICKSBURG   ,KT82
 FREEPORT         ,K6T5
 FT HOOD/KILLEEN  ,KHLR
 FT WORTH/ALLIANC ,KAFW
 FT WORTH/NAS     ,KFWH
 GAINESVILLE      ,KGLE
 GALVESTON424 OIL ,KGVX
 GALVESTON 209B   ,KGVW
 GALVESTON        ,KGLS
 GATESVILLE       ,K05F
 GATESVILLE       ,KGOP
 GEORGETOWN       ,KGTU
 GEORGETOWN       ,KT04
 GEORGE WEST      ,K8T6
 GIDDINGS-LEE     ,K62H
 GIDDINGS-LEE     ,KGYB
 GILMER MUNI      ,K4F4
 GILMER MUNI      ,KJXI
 GONZALES MUNI    ,KT20
 GRAHAM MUNI      ,KRPH
 GRANBURY MUNI    ,KF55
 GRANBURY MUNI    ,KGDJ
 GRAND PRAIRIE    ,KGPM
 GRANGER KGRK 88D ,    
 GRAY/FT HOOD     ,KGRK
 GREENVILLE/MAJOR ,KGVT
 GUADALUPE PASS   ,KGDP
 GUNNISON 668     ,KGUL
 HAMILTON MUNI    ,KMNZ
 HARLINGEN        ,KHRL
 HEARNE MUNI      ,KLHB
 HEARNE MUNI      ,KT72
 HEBBRONVILLE     ,KHBV
 HENDERSON RUSK C ,KF12
 HENDERSON RUSK C ,KRFI
 HEREFORD MUNI    ,KHRX
 HILLSBORO        ,KINJ
 HILLSBORO MUNI   ,K5T5
 H ISLAND376 OILP ,KHQI
 HONDO            ,KHDO
 HORSESHOE BAY    ,KDZB
 HOUSTON/ARTCC    ,KZHU
 HOUSTON/DICKINSN ,KHGX
 HOUSTON/DW HOOKS ,KDWH
 HOUSTON/ELLINGTO ,KEFD
 HOUSTON EXEC     ,KTME
 HOUSTON/HOBBY    ,KHOU
 HOUSTON/INTNL    ,KIAH
 HOUSTON          ,KLVJ
 HOUSTON          ,KT02
 HOUSTON/SOUTHWST ,KAXH
 HOUSTON/SUGAR LA ,KSGR
 HOUSTON/UNIV     ,KMCJ
 HUNTSVILLE       ,KUTS
 INGLESIDE/TP MCC ,KT43
 INGLESIDE/TP MCC ,KTFP
 JACKSONVILLE     ,KJSO
 JASPER           ,KJAS
 JAYTON PROFILER  ,    
 JOHNSON SPACE C  ,KWNJ
 JUNCTION         ,KJCT
 KELLY AFB        ,KSKF
 KENEDY           ,K2R9
 KERRVILLE        ,KERV
 KICKAPOO         ,KCWC
 KICKAPOO         ,KT47
 KILLEEN MUNI     ,KILE
 KINGSVILLE       ,KIKG
 KINGSVILLE NAS   ,KNQI
 LAGO VISTA       ,K5R3
 LAGO VISTA       ,KRYW
 LA GRANGE        ,K3T5
 LAMESA           ,K2F5
 LAMESA           ,KLUV
 LAMPASAS         ,KLZZ
 LANCASTER        ,KLNC
 LA PORTE         ,KT41
 LAREDO           ,KLRD
 LAUGHLIN AFB/88D ,KDFX
 LAUGHLIN AFB/AUX ,KT70
 LAUGHLIN AFB     ,KDLF
 LEDBETTER PROFIL ,    
 LEVELLAND        ,KLLN
 LIBERTY          ,KT78
 LLANO            ,K6R9
 LLANO            ,KAQO
 LONGVIEW         ,KGGG
 LUBBOCK          ,KLBB
 LUBBOCK/WFO      ,KLUB
 LUFKIN           ,KLFK
 MARFA            ,KMRF
 MARSHALL         ,KASL
 MAVERICK CNTY    ,K5T9
 MAVERICK (DFW)   ,KTTT
 MCALLEN          ,KMFE
 MC GREGOR        ,KF60
 MC GREGOR        ,KPWG
 MCKINNEY         ,KTKI
 MCMULLEN TARGET  ,KNMT
 MESQUITE         ,KHQZ
 MEXIA LIMESTONE  ,KLXY
 MIDLAND AIRPARK  ,KMDD
 MIDLAND          ,KMAF
 MIDLOTHIAN/WAX   ,KJWY
 MINEOLA/QUITMAN  ,K3T1
 MINEOLA/QUITMAN  ,KJDD
 MINERAL WELLS    ,KMWL
 MOUNT PLEASANT   ,KOSA
 MUSTANG A85A OIL ,KMZG
 MUSTANG IS31 OIL ,KMIU
 NACOGDOCHES      ,KOCH
 NEW BRAUNFEL 88D ,KEWX
 NEW BRAUNFELS    ,K3R5
 NEW BRAUNFELS    ,KBAZ
 N PADRE 975      ,KOPM
 ODESSA           ,KE02
 ODESSA           ,KODO
 ORANGE GROVE     ,KNOG
 ORANGE           ,KORG
 OZONA            ,KOZA
 PALACIOS         ,KPSX
 PALESTINE MUNI   ,KPSN
 PALESTINE PROFIL ,    
 PAMPA            ,KPPA
 PAMPA M VISTA R  ,KBPC
 PARIS/COX FIELD  ,KPRX
 PECOS CITY       ,KPEQ
 PERRYTON         ,KPYX
 PHILLIPS OIL     ,K25T
 PLAINVIEW        ,KPVW
 PLEASANTON MUNI  ,KPEZ
 PORT ARANSAS     ,    
 PORT ARANSAS     ,K2R8
 PORT ARANSAS     ,KRAS
 PORT ISABEL      ,KPIL
 PORT ISABEL      ,KT31
 PORT LAVACA      ,KPKV
 PORT LAVACA      ,KT97
 PORT MANSFIELD   ,KT05
 PRESIDIO/LELY IN ,KPRS
 PRESIDIO/LELY IN ,KT77
 RANDOLPH AFB     ,KRND
 RANGER           ,K6P9
 REESE AFB/LUBBOC ,KREE
 ROBSTOWN/NUECES  ,KRBO
 ROBSTOWN NUECES  ,KT53
 ROCKPORT         ,KRKP
 ROCKSPRINGS      ,KECU
 ROCKWALL         ,KF46
 SABINE PASS      ,K28T
 SABINE PASS      ,KRPE
 SAN ANGELO       ,KSJT
 SAN ANTONIO      ,KSAT
 SANDERSON (RAMOS ,KP07
 SAN MARCOS       ,KHYI
 SAN MARCOS       ,KT98
 SAN SABA         ,K81R
 S ANTONIO-BOERNE ,K5C1
 S ANTONIO/STINSN ,KSSF
 SEGUIN           ,KSEQ
 SEMINOLE         ,K31F
 SEMINOLE         ,KGNC
 SHACKELFORD/DYES ,KDYX
 SHAMROCK         ,K2F1
 SHEPPARD AFB     ,KSHP
 SHERMAN/DENISON  ,KF39
 SHERMAN/DENISON  ,KGYI
 SINTON           ,KT69
 SNYDER/WINSTON   ,KSNK
 SONORA           ,KE29
 SONORA           ,KSOA
 SOUTH BRAZOS     ,KT46
 SOUTH PADRE IS   ,KSPL
 SPEARMAN         ,KE42
 STEPHENVILLE     ,KSEP
 SULPHUR SPRINGS  ,KSLR
 SWEETWATER       ,KSWW
 TAYLOR           ,KT74
 TEMPLE/MILLER    ,KTPL
 TERRELL          ,KTRL
 TEXICO (VOR)     ,KTXO
 TYLER            ,KTYR
 UVALDE/GARNER F  ,KUVA
 VAN HORN         ,KVHN
 VERNON WILBARGER ,KF05
 VICTORIA         ,KVCT
 WACO             ,KACT
 WACO/TSTI        ,KCNW
 WALKER RIDGE     ,KJSL
 W CAMERON 368A   ,KCRH
 WESLACO MIDVALLY ,KT65
 WESLACO MIDVALLY ,KTXW
 WEST HOUSTON     ,KIWS
 WHARTON          ,K5R5
 WHARTON          ,KARM
 WICHITA FALL     ,KSPS
 WINK             ,KINK
 ZAPATA           ,KAPY
